"","focalid","role","dyadid","outcome","focalcode","partcode","obs"
"1",3,1,31,1,0,1,311
"2",3,2,31,1,1,0,312
"3",3,1,32,1.5,0,1,321
"4",3,2,32,1,1,0,322
"5",3,1,33,1.5,0,1,331
"6",3,2,33,3.83333333333333,1,0,332
"7",5,1,51,2.16666666666667,0,1,511
"8",5,2,51,2.33333333333333,1,0,512
"9",5,1,52,2,0,1,521
"10",5,2,52,3.5,1,0,522
"11",5,1,53,2.16666666666667,0,1,531
"12",5,2,53,2,1,0,532
"13",6,1,61,1.16666666666667,0,1,611
"14",6,2,61,1,1,0,612
"15",6,1,62,1.33333333333333,0,1,621
"16",6,2,62,1.16666666666667,1,0,622
"17",6,1,63,1,0,1,631
"18",6,2,63,3.66666666666667,1,0,632
"19",8,1,81,3.33333333333333,0,1,811
"20",8,2,81,1.16666666666667,1,0,812
"21",8,1,82,2.16666666666667,0,1,821
"22",8,2,82,2.33333333333333,1,0,822
"23",8,1,83,3.16666666666667,0,1,831
"24",8,2,83,2.32959641255605,1,0,832
"25",10,1,101,1.16666666666667,0,1,1011
"26",10,2,101,1.33333333333333,1,0,1012
"27",10,1,102,1,0,1,1021
"28",10,2,102,1,1,0,1022
"29",10,1,103,1,0,1,1031
"30",10,2,103,2,1,0,1032
"31",13,1,131,1.5,0,1,1311
"32",13,2,131,2.83333333333333,1,0,1312
"33",13,1,132,1.83333333333333,0,1,1321
"34",13,2,132,1.33333333333333,1,0,1322
"35",13,1,133,2,0,1,1331
"36",13,2,133,2,1,0,1332
"37",14,1,141,1,0,1,1411
"38",14,2,141,2,1,0,1412
"39",14,1,142,1,0,1,1421
"40",14,2,142,1.5,1,0,1422
"41",14,1,143,1.16666666666667,0,1,1431
"42",14,2,143,1.66666666666667,1,0,1432
"43",18,1,181,1,0,1,1811
"44",18,2,181,1,1,0,1812
"45",18,1,182,1,0,1,1821
"46",18,2,182,1,1,0,1822
"47",18,1,183,1,0,1,1831
"48",18,2,183,1.33333333333333,1,0,1832
"49",21,1,211,3.33333333333333,0,1,2111
"50",21,2,211,2.16666666666667,1,0,2112
"51",21,1,212,1.33333333333333,0,1,2121
"52",21,2,212,1,1,0,2122
"53",21,1,213,2.33333333333333,0,1,2131
"54",21,2,213,1,1,0,2132
"55",22,1,221,1.83333333333333,0,1,2211
"56",22,2,221,1.83333333333333,1,0,2212
"57",22,1,222,1.5,0,1,2221
"58",22,2,222,1,1,0,2222
"59",22,1,223,2.16666666666667,0,1,2231
"60",22,2,223,1.5,1,0,2232
"61",26,1,261,1,0,1,2611
"62",26,2,261,1.16666666666667,1,0,2612
"63",26,1,262,1,0,1,2621
"64",26,2,262,1,1,0,2622
"65",26,1,263,1,0,1,2631
"66",26,2,263,1,1,0,2632
"67",27,1,271,3.83333333333333,0,1,2711
"68",27,2,271,3,1,0,2712
"69",27,1,272,3.33333333333333,0,1,2721
"70",27,2,272,2,1,0,2722
"71",27,1,273,3.16666666666667,0,1,2731
"72",27,2,273,1.83333333333333,1,0,2732
"73",29,1,291,1.16666666666667,0,1,2911
"74",29,2,291,2,1,0,2912
"75",29,1,292,1.16666666666667,0,1,2921
"76",29,2,292,1.5,1,0,2922
"77",29,1,293,1.16666666666667,0,1,2931
"78",29,2,293,2,1,0,2932
"79",33,1,331,2.33333333333333,0,1,3311
"80",33,2,331,1,1,0,3312
"81",33,1,332,1.66666666666667,0,1,3321
"82",33,2,332,1.83333333333333,1,0,3322
"83",33,1,333,1.83333333333333,0,1,3331
"84",33,2,333,1,1,0,3332
"85",34,1,341,1,0,1,3411
"86",34,2,341,1,1,0,3412
"87",34,1,342,1.5,0,1,3421
"88",34,2,342,1.33333333333333,1,0,3422
"89",34,1,343,1.16666666666667,0,1,3431
"90",34,2,343,1,1,0,3432
"91",35,1,351,1,0,1,3511
"92",35,2,351,1,1,0,3512
"93",35,1,352,1,0,1,3521
"94",35,2,352,1,1,0,3522
"95",35,1,353,1.16666666666667,0,1,3531
"96",35,2,353,1,1,0,3532
"97",36,1,361,1.66666666666667,0,1,3611
"98",36,2,361,3.16666666666667,1,0,3612
"99",36,1,362,1.83333333333333,0,1,3621
"100",36,2,362,1,1,0,3622
"101",36,1,363,1,0,1,3631
"102",36,2,363,1,1,0,3632
"103",38,1,381,2.16666666666667,0,1,3811
"104",38,2,381,3,1,0,3812
"105",38,1,382,2,0,1,3821
"106",38,2,382,1,1,0,3822
"107",38,1,383,2,0,1,3831
"108",38,2,383,2.5,1,0,3832
"109",39,1,391,1.16666666666667,0,1,3911
"110",39,2,391,2.16666666666667,1,0,3912
"111",39,1,392,1,0,1,3921
"112",39,2,392,1,1,0,3922
"113",39,1,393,2.33333333333333,0,1,3931
"114",39,2,393,1,1,0,3932
"115",40,1,401,2.5,0,1,4011
"116",40,2,401,4.33333333333333,1,0,4012
"117",40,1,402,1.87140804597701,0,1,4021
"118",40,2,402,1.66666666666667,1,0,4022
"119",40,1,403,1,0,1,4031
"120",40,2,403,2.16666666666667,1,0,4032
"121",42,1,421,1.5,0,1,4211
"122",42,2,421,1.33333333333333,1,0,4212
"123",42,1,422,2.5,0,1,4221
"124",42,2,422,1.83333333333333,1,0,4222
"125",42,1,423,1.5,0,1,4231
"126",42,2,423,2.16666666666667,1,0,4232
"127",44,1,441,2.33333333333333,0,1,4411
"128",44,2,441,1,1,0,4412
"129",44,1,442,2.33333333333333,0,1,4421
"130",44,2,442,1,1,0,4422
"131",44,1,443,2.66666666666667,0,1,4431
"132",44,2,443,2.33333333333333,1,0,4432
"133",47,1,471,1.16666666666667,0,1,4711
"134",47,2,471,1.5,1,0,4712
"135",47,1,472,1,0,1,4721
"136",47,2,472,1,1,0,4722
"137",47,1,473,1.33333333333333,0,1,4731
"138",47,2,473,1.83333333333333,1,0,4732
"139",55,1,551,1,0,1,5511
"140",55,2,551,2,1,0,5512
"141",55,1,552,1.33333333333333,0,1,5521
"142",55,2,552,1,1,0,5522
"143",55,1,553,1.16666666666667,0,1,5531
"144",55,2,553,1,1,0,5532
"145",58,1,581,1,0,1,5811
"146",58,2,581,1,1,0,5812
"147",58,1,582,1.66666666666667,0,1,5821
"148",58,2,582,1.33333333333333,1,0,5822
"149",58,1,583,1.16666666666667,0,1,5831
"150",58,2,583,1.16666666666667,1,0,5832
"151",59,1,591,2.16666666666667,0,1,5911
"152",59,2,591,2.16666666666667,1,0,5912
"153",59,1,592,2.16666666666667,0,1,5921
"154",59,2,592,1.66666666666667,1,0,5922
"155",59,1,593,1.83333333333333,0,1,5931
"156",59,2,593,1.5,1,0,5932
"157",60,1,601,1.33333333333333,0,1,6011
"158",60,2,601,1.16666666666667,1,0,6012
"159",60,1,602,1.66666666666667,0,1,6021
"160",60,2,602,1,1,0,6022
"161",60,1,603,1.33333333333333,0,1,6031
"162",60,2,603,1.66666666666667,1,0,6032
"163",61,1,611,2.33333333333333,0,1,6111
"164",61,2,611,2.16666666666667,1,0,6112
"165",61,1,612,2.83333333333333,0,1,6121
"166",61,2,612,1.16666666666667,1,0,6122
"167",61,1,613,4.66666666666667,0,1,6131
"168",61,2,613,3,1,0,6132
"169",62,1,621,1,0,1,6211
"170",62,2,621,1.66666666666667,1,0,6212
"171",62,1,622,1,0,1,6221
"172",62,2,622,1.16666666666667,1,0,6222
"173",62,1,623,2.16666666666667,0,1,6231
"174",62,2,623,1.16666666666667,1,0,6232
"175",64,1,641,2,0,1,6411
"176",64,2,641,2.33333333333333,1,0,6412
"177",64,1,642,2.83333333333333,0,1,6421
"178",64,2,642,2,1,0,6422
"179",64,1,643,2.16666666666667,0,1,6431
"180",64,2,643,1,1,0,6432
"181",65,1,651,1.5,0,1,6511
"182",65,2,651,2.66666666666667,1,0,6512
"183",65,1,652,1.16666666666667,0,1,6521
"184",65,2,652,1,1,0,6522
"185",65,1,653,2.16666666666667,0,1,6531
"186",65,2,653,1.66666666666667,1,0,6532
"187",66,1,661,1.33333333333333,0,1,6611
"188",66,2,661,1,1,0,6612
"189",66,1,662,3.33333333333333,0,1,6621
"190",66,2,662,1.83333333333333,1,0,6622
"191",66,1,663,1.33333333333333,0,1,6631
"192",66,2,663,1.33333333333333,1,0,6632
"193",67,1,671,2.16666666666667,0,1,6711
"194",67,2,671,3,1,0,6712
"195",67,1,672,2,0,1,6721
"196",67,2,672,1.16666666666667,1,0,6722
"197",67,1,673,2,0,1,6731
"198",67,2,673,1.5,1,0,6732
"199",69,1,691,1,0,1,6911
"200",69,2,691,1.66666666666667,1,0,6912
"201",69,1,692,2,0,1,6921
"202",69,2,692,1.83333333333333,1,0,6922
"203",69,1,693,1,0,1,6931
"204",69,2,693,3.5,1,0,6932
"205",71,1,711,2.16666666666667,0,1,7111
"206",71,2,711,1,1,0,7112
"207",71,1,712,1.33333333333333,0,1,7121
"208",71,2,712,2.16666666666667,1,0,7122
"209",71,1,713,1.5,0,1,7131
"210",71,2,713,1,1,0,7132
"211",75,1,751,1.5,0,1,7511
"212",75,2,751,1.16666666666667,1,0,7512
"213",75,1,752,1,0,1,7521
"214",75,2,752,1,1,0,7522
"215",75,1,753,1.33333333333333,0,1,7531
"216",75,2,753,3.83333333333333,1,0,7532
"217",79,1,791,2.5,0,1,7911
"218",79,2,791,2.5,1,0,7912
"219",79,1,792,1.66666666666667,0,1,7921
"220",79,2,792,1.5,1,0,7922
"221",79,1,793,1,0,1,7931
"222",79,2,793,1.66666666666667,1,0,7932
"223",80,1,801,1,0,1,8011
"224",80,2,801,1,1,0,8012
"225",80,1,802,1,0,1,8021
"226",80,2,802,1,1,0,8022
"227",80,1,803,1,0,1,8031
"228",80,2,803,1,1,0,8032
"229",82,1,821,4.5,0,1,8211
"230",82,2,821,1,1,0,8212
"231",82,1,822,3.5,0,1,8221
"232",82,2,822,1,1,0,8222
"233",82,1,823,3.66666666666667,0,1,8231
"234",82,2,823,3,1,0,8232
"235",85,1,851,3,0,1,8511
"236",85,2,851,4.66666666666667,1,0,8512
"237",85,1,852,2.5,0,1,8521
"238",85,2,852,1.16666666666667,1,0,8522
"239",85,1,853,2.5,0,1,8531
"240",85,2,853,1,1,0,8532
"241",86,1,861,1,0,1,8611
"242",86,2,861,1.16666666666667,1,0,8612
"243",86,1,862,1.5,0,1,8621
"244",86,2,862,2,1,0,8622
"245",86,1,863,1,0,1,8631
"246",86,2,863,2.16666666666667,1,0,8632
"247",89,1,891,3,0,1,8911
"248",89,2,891,1.33333333333333,1,0,8912
"249",89,1,892,1.33333333333333,0,1,8921
"250",89,2,892,2,1,0,8922
"251",89,1,893,2.66666666666667,0,1,8931
"252",89,2,893,2.33333333333333,1,0,8932
"253",91,1,911,1,0,1,9111
"254",91,2,911,1.16666666666667,1,0,9112
"255",91,1,912,1.83333333333333,0,1,9121
"256",91,2,912,3.5,1,0,9122
"257",91,1,913,2.33333333333333,0,1,9131
"258",91,2,913,2,1,0,9132
"259",93,1,931,2,0,1,9311
"260",93,2,931,1.33333333333333,1,0,9312
"261",93,1,932,2,0,1,9321
"262",93,2,932,1.16666666666667,1,0,9322
"263",93,1,933,1.66666666666667,0,1,9331
"264",93,2,933,3.16666666666667,1,0,9332
"265",94,1,941,1,0,1,9411
"266",94,2,941,2.16666666666667,1,0,9412
"267",94,1,942,1.5,0,1,9421
"268",94,2,942,1.16666666666667,1,0,9422
"269",94,1,943,1.33333333333333,0,1,9431
"270",94,2,943,3.5,1,0,9432
"271",96,1,961,4,0,1,9611
"272",96,2,961,2.16666666666667,1,0,9612
"273",96,1,962,1.16666666666667,0,1,9621
"274",96,2,962,1.5,1,0,9622
"275",96,1,963,2,0,1,9631
"276",96,2,963,2.33333333333333,1,0,9632
"277",99,1,991,1,0,1,9911
"278",99,2,991,1,1,0,9912
"279",99,1,992,1.16666666666667,0,1,9921
"280",99,2,992,1,1,0,9922
"281",99,1,993,1.83333333333333,0,1,9931
"282",99,2,993,1.66666666666667,1,0,9932
"283",100,1,1001,1.16666666666667,0,1,10011
"284",100,2,1001,1,1,0,10012
"285",100,1,1002,3.5,0,1,10021
"286",100,2,1002,2,1,0,10022
"287",100,1,1003,2.16666666666667,0,1,10031
"288",100,2,1003,1,1,0,10032
"289",102,1,1021,2.33333333333333,0,1,10211
"290",102,2,1021,1.5,1,0,10212
"291",102,1,1022,1.5,0,1,10221
"292",102,2,1022,1,1,0,10222
"293",102,1,1023,2,0,1,10231
"294",102,2,1023,1.16666666666667,1,0,10232
"295",105,1,1051,1,0,1,10511
"296",105,2,1051,2,1,0,10512
"297",105,1,1052,1,0,1,10521
"298",105,2,1052,1.16666666666667,1,0,10522
"299",105,1,1053,1.83333333333333,0,1,10531
"300",105,2,1053,1.5,1,0,10532
"301",108,1,1081,2,0,1,10811
"302",108,2,1081,1,1,0,10812
"303",108,1,1082,1.66666666666667,0,1,10821
"304",108,2,1082,1,1,0,10822
"305",108,1,1083,1.83333333333333,0,1,10831
"306",108,2,1083,1.16666666666667,1,0,10832
"307",110,1,1101,1.83333333333333,0,1,11011
"308",110,2,1101,1,1,0,11012
"309",110,1,1102,2,0,1,11021
"310",110,2,1102,1,1,0,11022
"311",110,1,1103,3.5,0,1,11031
"312",110,2,1103,2,1,0,11032
"313",111,1,1111,1.66666666666667,0,1,11111
"314",111,2,1111,2,1,0,11112
"315",111,1,1112,1,0,1,11121
"316",111,2,1112,1.16666666666667,1,0,11122
"317",111,1,1113,1.16666666666667,0,1,11131
"318",111,2,1113,1.16666666666667,1,0,11132
"319",112,1,1121,3.5,0,1,11211
"320",112,2,1121,2.16666666666667,1,0,11212
"321",112,1,1122,1.5,0,1,11221
"322",112,2,1122,2.16666666666667,1,0,11222
"323",112,1,1123,1.83333333333333,0,1,11231
"324",112,2,1123,1.5,1,0,11232
"325",113,1,1131,1,0,1,11311
"326",113,2,1131,2.83333333333333,1,0,11312
"327",113,1,1132,1.66666666666667,0,1,11321
"328",113,2,1132,2.16666666666667,1,0,11322
"329",113,1,1133,1,0,1,11331
"330",113,2,1133,1.16666666666667,1,0,11332
"331",114,1,1141,2.33333333333333,0,1,11411
"332",114,2,1141,1.16666666666667,1,0,11412
"333",114,1,1142,1,0,1,11421
"334",114,2,1142,1,1,0,11422
"335",114,1,1143,1,0,1,11431
"336",114,2,1143,1,1,0,11432
"337",118,1,1181,1.83333333333333,0,1,11811
"338",118,2,1181,1.16666666666667,1,0,11812
"339",118,1,1182,1.5,0,1,11821
"340",118,2,1182,1,1,0,11822
"341",118,1,1183,2,0,1,11831
"342",118,2,1183,1,1,0,11832
"343",120,1,1201,1.16666666666667,0,1,12011
"344",120,2,1201,3,1,0,12012
"345",120,1,1202,1.66666666666667,0,1,12021
"346",120,2,1202,1.33333333333333,1,0,12022
"347",120,1,1203,1.5,0,1,12031
"348",120,2,1203,1.16666666666667,1,0,12032
"349",125,1,1251,1.83333333333333,0,1,12511
"350",125,2,1251,2.5,1,0,12512
"351",125,1,1252,1,0,1,12521
"352",125,2,1252,1.16666666666667,1,0,12522
"353",125,1,1253,1,0,1,12531
"354",125,2,1253,1.5,1,0,12532
"355",138,1,1381,1,0,1,13811
"356",138,2,1381,1.66666666666667,1,0,13812
"357",138,1,1382,2.66666666666667,0,1,13821
"358",138,2,1382,2.33333333333333,1,0,13822
"359",138,1,1383,1.83333333333333,0,1,13831
"360",138,2,1383,2.83333333333333,1,0,13832
"361",142,1,1421,2,0,1,14211
"362",142,2,1421,1,1,0,14212
"363",142,1,1422,2,0,1,14221
"364",142,2,1422,1,1,0,14222
"365",142,1,1423,1.83333333333333,0,1,14231
"366",142,2,1423,1.33333333333333,1,0,14232
"367",148,1,1481,1.5,0,1,14811
"368",148,2,1481,1.16666666666667,1,0,14812
"369",148,1,1482,1.16666666666667,0,1,14821
"370",148,2,1482,1.16666666666667,1,0,14822
"371",148,1,1483,2.5,0,1,14831
"372",148,2,1483,1.66666666666667,1,0,14832
"373",153,1,1531,1.66666666666667,0,1,15311
"374",153,2,1531,1.16666666666667,1,0,15312
"375",153,1,1532,1.83333333333333,0,1,15321
"376",153,2,1532,1.33333333333333,1,0,15322
"377",153,1,1533,2.5,0,1,15331
"378",153,2,1533,2,1,0,15332
"379",155,1,1551,2,0,1,15511
"380",155,2,1551,5,1,0,15512
"381",155,1,1552,2.66666666666667,0,1,15521
"382",155,2,1552,1.66666666666667,1,0,15522
"383",155,1,1553,2,0,1,15531
"384",155,2,1553,1.33333333333333,1,0,15532
"385",160,1,1601,2.16666666666667,0,1,16011
"386",160,2,1601,1,1,0,16012
"387",160,1,1602,1.83333333333333,0,1,16021
"388",160,2,1602,1,1,0,16022
"389",160,1,1603,1.83333333333333,0,1,16031
"390",160,2,1603,1,1,0,16032
"391",161,1,1611,3,0,1,16111
"392",161,2,1611,3,1,0,16112
"393",161,1,1612,1.5,0,1,16121
"394",161,2,1612,1,1,0,16122
"395",161,1,1613,3.66666666666667,0,1,16131
"396",161,2,1613,1.66666666666667,1,0,16132
"397",165,1,1651,1,0,1,16511
"398",165,2,1651,1.16666666666667,1,0,16512
"399",165,1,1652,1.33333333333333,0,1,16521
"400",165,2,1652,1,1,0,16522
"401",165,1,1653,3.66666666666667,0,1,16531
"402",165,2,1653,3.42261904761905,1,0,16532
"403",166,1,1661,3,0,1,16611
"404",166,2,1661,1,1,0,16612
"405",166,1,1662,3.16666666666667,0,1,16621
"406",166,2,1662,2.5,1,0,16622
"407",166,1,1663,3.66666666666667,0,1,16631
"408",166,2,1663,1.5,1,0,16632
"409",168,1,1681,3.83333333333333,0,1,16811
"410",168,2,1681,3,1,0,16812
"411",168,1,1682,1.16666666666667,0,1,16821
"412",168,2,1682,1.33333333333333,1,0,16822
"413",168,1,1683,2.5,0,1,16831
"414",168,2,1683,3,1,0,16832
"415",170,1,1701,1.33333333333333,0,1,17011
"416",170,2,1701,3.16666666666667,1,0,17012
"417",170,1,1702,1.16666666666667,0,1,17021
"418",170,2,1702,1.33333333333333,1,0,17022
"419",170,1,1703,1.66666666666667,0,1,17031
"420",170,2,1703,1.83333333333333,1,0,17032
"421",171,1,1711,3.16666666666667,0,1,17111
"422",171,2,1711,2.5,1,0,17112
"423",171,1,1712,2.83333333333333,0,1,17121
"424",171,2,1712,1.33333333333333,1,0,17122
"425",171,1,1713,2.83333333333333,0,1,17131
"426",171,2,1713,2,1,0,17132
"427",179,1,1791,1.33333333333333,0,1,17911
"428",179,2,1791,1.33333333333333,1,0,17912
"429",179,1,1792,1.5,0,1,17921
"430",179,2,1792,1.33333333333333,1,0,17922
"431",179,1,1793,1.5,0,1,17931
"432",179,2,1793,1.66666666666667,1,0,17932
"433",182,1,1821,1.5,0,1,18211
"434",182,2,1821,1.66666666666667,1,0,18212
"435",182,1,1822,1.5,0,1,18221
"436",182,2,1822,1.33333333333333,1,0,18222
"437",182,1,1823,2.16666666666667,0,1,18231
"438",182,2,1823,1.5,1,0,18232
